word,pct,pct_per_decade,decades,decade_specificity,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
brittles,0.001743404533097814,0.001743404533097814,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001743404533097814,0.0,0.0,0.0,0.0,0.0,0.0
soviets,0.016588877084000097,0.0016588877084000096,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.693337067769656e-05,0.0004824817316333679,0.0005798045747673335,0.0007083906497015449,0.002192530579582388,0.0023647651035238497,0.003077444945248864,0.005839119510122545,0.0008348351399103921,0.0004325714788321147
computers,0.014902422097089538,0.0016558246774543931,9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.935414835859497e-06,0.0,0.0,0.0,8.402964851700486e-06,8.483720355707125e-06,0.00017708900835088515,0.001139229903887402,0.0013648555265651742,0.004412236080536262,0.004708470189094612,0.003073719288611937
fizgig,0.001648260562101228,0.001648260562101228,1,19.0,0.0,0.0,0.0,0.001648260562101228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almah,0.0016415730076251066,0.0016415730076251066,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016415730076251066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buddy,0.019512817733778352,0.0016260681444815294,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500546726841915e-06,0.0,0.0,3.7149978130272246e-05,0.00016744321853381016,0.0028184974489582574,0.0003487230413455701,0.00061931158596662,0.001062534050105311,0.0016441158840193187,0.0025254173915107204,0.0039270134733570645,0.0034803349388264344,0.0028767761762981286
fuck,0.014575957943658867,0.001619550882628763,9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.035500023389897e-06,0.0,0.0,4.52549239280568e-06,0.0,6.722371881360388e-05,0.0,5.902966945029505e-05,0.000893259811002622,0.0034990722894425643,0.0024014406999377227,0.0035879359124148854,0.004058434850180978
cloddy,0.009557081997281754,0.001592846999546959,6,14.0,0.009512435780248898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967707417929748e-06,1.8574989065136123e-05,4.52549239280568e-06,0.0,0.0,4.2418601778535626e-06,0.0,0.0,0.0,1.2336167979132139e-05,0.0,0.0
gasoline,0.022212290406155164,0.001586592171868226,14,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500546726841915e-06,2.5177500116949487e-05,0.00015896663737375194,0.0004922372102261073,0.0007467062448129372,0.0023118916307432215,0.002163763449312875,0.004767850839907403,0.0019859267365063553,0.0013161557601729455,0.00354688569960886,0.001994347156626362,0.001473020224641892,0.001223860769378666
output,0.0236814346389921,0.00157876230926614,15,5.0,0.0,0.0,0.0,6.339463700389339e-06,0.0,0.0,5.500546726841915e-06,0.00013595850063152724,0.00029309473765785514,0.0009380369477893744,0.0012761888547712019,0.002392305252682116,0.0030082614169087735,0.002875981200584715,0.002757528844320926,0.0040822404889298575,0.0020472832898477612,0.001784632300981116,0.001139086168677735,0.0009389966247819074
electronic,0.015745637720845945,0.0015745637720845946,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52549239280568e-06,0.00010051702742361832,0.00020167115644081164,0.0004962976408088667,0.0012438394634169316,0.002265514013412447,0.001821256259970726,0.00319095545060218,0.0033578924516395776,0.0030631687647379824
racial,0.023483314460493374,0.001565554297366225,15,5.0,0.0,1.4688321168955352e-05,0.0,0.0,0.0,0.0,1.6501640180525744e-05,4.0284000187119176e-05,0.00026328849315027667,0.0007801495407357173,0.0011404240829870312,0.001246411140052867,0.0016385781460815944,0.0016797766304300103,0.0021883141746216524,0.004254851080427949,0.0030817916189003454,0.0025618108836664407,0.0022447789317590543,0.0023316657761438377
airplane,0.01709756539246779,0.001554324126587981,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2506230863988215e-05,0.00016291772614100448,0.0027421045081163077,0.0023024123693659326,0.002990511425386761,0.0017666736785481164,0.001510342675608298,0.0013822422211711,0.0014474437095515042,0.0014099437918486623,0.0013504670558661142
nazi,0.018378333272544352,0.0015315277727120293,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.935414835859497e-06,4.643747266284031e-06,4.52549239280568e-06,1.2062043290834197e-05,0.0038191475250978703,0.007584445998002168,0.001387197232081934,0.0012773183770858748,0.0011344818230366574,0.0011349274540801567,0.0012429767638665837,0.0007666714015073251
regional,0.021398910156718035,0.0015284935826227167,14,6.0,0.0,0.0,0.0,0.0,1.852550560736179e-05,0.0,2.750273363420957e-05,0.0,2.9806244507578486e-05,0.00010216243985824869,0.0003167844674963976,0.0004704196883425337,0.0018654581970775077,0.0019258045207455172,0.0016401815297260554,0.00181672647551741,0.002168990152089242,0.0037954276815796543,0.0037957171027925827,0.0034254034177437376
airlines,0.013531328961355723,0.0015034809957061915,9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.814476767861313e-05,0.0005629986450639325,0.0013022510746010434,0.0011637277691629597,0.002222361365537924,0.002025549921590354,0.003301980962414369,0.0014507579542442815,0.0014735565010622442
skills,0.022295265864400598,0.0014863510576267065,15,5.0,0.0,0.0,7.398327193831512e-06,6.339463700389339e-06,0.0,0.0,0.0,5.035500023389897e-06,4.967707417929748e-06,1.8574989065136123e-05,9.05098478561136e-06,0.00010453770852056305,0.00031511118193876817,0.0009035162178828086,0.0012649214882206085,0.002049750774039833,0.002234190256861463,0.0035610404899761436,0.005688010086589471,0.006122820688184648
basketball,0.017710454135037905,0.0014758711779198255,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967707417929748e-06,9.287494532568061e-06,0.00012671378699855905,0.00015680656278084458,0.00029410376980951695,0.00042418601778535615,0.0015938010751579666,0.001678638002318937,0.0016691226821688753,0.0027221810673951586,0.0039663945091742625,0.005064251459497928
techniques,0.018977069814245906,0.001459774601095839,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5106500070169692e-05,9.935414835859497e-06,9.287494532568061e-06,9.05098478561136e-06,0.00015278588168389983,0.00035292452377142034,0.001531311524205136,0.0025846562409307765,0.003344330210275517,0.0027123243585244223,0.002594707331610793,0.00334305093804117,0.0023175984109785656
taxi,0.018858837103182726,0.001450679777167902,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500546726841915e-06,0.0,4.967707417929748e-06,4.6437472662840314e-05,0.000805537645919411,0.0015359001790328879,0.0021931738262938264,0.002002158003946881,0.0022642094639148892,0.0022611987486249947,0.0028340312207659033,0.0016736067891689266,0.001688222171818793,0.0015438933268886045
video,0.01727903149913036,0.0014399192915941965,12,8.0,0.0,1.4688321168955352e-05,8.877992632597813e-05,0.0002472390843151842,0.0,3.5923503772596557e-05,0.0,0.0,0.0,0.0,0.0,8.041362193889465e-06,0.0,6.362790266780343e-05,0.0001433577686650023,0.00013377320841102068,0.0004564007334055518,0.003092266106769123,0.006274249873726547,0.006720683707708708
